ID,WijkenEnBuurten,AantalInwoners_5,,
25200,WK036310,44780,,
25220,WK036311,80400,,
25252,WK036312,59740,,
25288,WK036313,84810,,
25332,WK036314,47250,,
25364,WK036400,6500,,
25388,WK036500,3990,,
25404,WK036501,2480,,
25440,WK036600,11920,,
25464,WK036601,2230,,
25484,WK037000,6030,,
25520,WK037001,2530,,
25536,WK037301,12120,,
25608,WK037302,400,,
25616,WK037303,550,,
25624,WK037304,4980,,
25644,WK037305,2910,,
25656,WK037306,3760,,
25676,WK037307,6430,,
25712,WK037500,6110,,
25744,WK037501,3750,,
25760,WK037502,1990,,
25776,WK037503,5530,,
25796,WK037504,1480,,
25808,WK037505,3180,,
25820,WK037506,4500,,
25832,WK037507,5750,,
25852,WK037508,2100,,
25872,WK037509,3890,,
25892,WK037600,8990,,
25908,WK037700,6090,,
25940,WK037701,4070,,
25956,WK037702,4440,,
25976,WK037703,2290,,
25988,WK037704,5180,,
26020,WK038100,9880,,
26060,WK038101,3870,,
26084,WK038102,13030,,
26128,WK038103,5210,,
26164,WK038300,4740,,
26176,WK038301,5690,,
26188,WK038302,8740,,
26204,WK038303,620,,
26216,WK038304,2900,,
26236,WK038305,4940,,
26248,WK038306,160,,
26256,WK038307,6950,,
26276,WK038400,7980,,
26328,WK038401,8950,,
26356,WK038402,7430,,
26392,WK038500,7270,,
26432,WK038501,110,,
26448,WK038502,21100,,
26508,WK038800,8370,,
26528,WK038801,9740,,
26552,WK039201,12510,,
26568,WK039202,15090,,
26588,WK039203,20680,,
26620,WK039204,11720,,
26640,WK039205,16230,,
26664,WK039206,20520,,
26688,WK039207,14840,,
26712,WK039208,5220,,
26728,WK039209,31370,,
26752,WK039300,5430,,
26784,WK039401,73050,,
26940,WK039402,29880,,
27012,WK039403,7650,,
27080,WK039404,900,,
27104,WK039405,11970,,
27212,WK039406,800,,
27256,WK039407,4100,,
27296,WK039408,770,,
27328,WK039409,1560,,
27360,WK039410,3630,,
27368,WK039411,900,,
27380,WK039412,1730,,
27404,WK039413,600,,
27428,WK039414,260,,
27436,WK039415,4270,,
27488,WK039501,7700,,
27516,WK039502,1950,,
27544,WK039503,6320,,
27576,WK039601,1680,,
27588,WK039602,2730,,
27604,WK039603,4940,,
27624,WK039604,1810,,
27656,WK039605,4770,,
27676,WK039606,6010,,
27708,WK039607,3070,,
27724,WK039608,4750,,
27740,WK039609,4980,,
27752,WK039610,3750,,
27760,WK039611,0,,
27772,WK039700,22320,,
27816,WK039701,2920,,
27832,WK039702,430,,
27844,WK039801,2770,,
27852,WK039802,4340,,
27876,WK039804,1590,,
27884,WK039806,4700,,
27912,WK039807,2610,,
27932,WK039808,3680,,
27944,WK039809,790,,
27968,WK039810,2930,,
27976,WK039811,3490,,
27988,WK039812,500,,
28024,WK039813,3300,,
28044,WK039814,4470,,
28060,WK039815,3980,,
28080,WK039816,4250,,
28104,WK039817,2810,,
28140,WK039820,1210,,
28156,WK039830,1380,,
28172,WK039840,490,,
28188,WK039850,1580,,
28208,WK039901,810,,
28216,WK039902,2590,,
28228,WK039903,4380,,
28248,WK039904,4370,,
28260,WK039905,5080,,
28280,WK039906,4550,,
28300,WK039907,20,,
28308,WK039908,430,,
28324,WK040001,9100,,
28368,WK040002,11100,,
28408,WK040003,3650,,
28432,WK040004,9160,,
28476,WK040005,9560,,
28520,WK040006,1000,,
28556,WK040007,490,,
28572,WK040008,13480,,
28620,WK040201,8120,,
28640,WK040202,7180,,
28668,WK040203,9010,,
28688,WK040204,17370,,
28712,WK040205,9230,,
28740,WK040206,18590,,
28764,WK040207,10280,,
28784,WK040208,4020,,
28792,WK040209,620,,
28856,WK040510,5190,,
28896,WK040511,2640,,
28936,WK040512,5030,,
28984,WK040513,8180,,
29064,WK040520,8210,,
29144,WK040521,7870,,
29200,WK040522,1530,,
29224,WK040530,5150,,
29288,WK040531,3930,,
29340,WK040532,4020,,
29380,WK040533,17580,,
29468,WK040534,30,,
29500,WK040535,0,,
29548,WK040600,6260,,
29560,WK040601,2450,,
29568,WK040602,900,,
29584,WK040603,380,,
29612,WK040604,2760,,
29624,WK040605,1310,,
29640,WK040606,3800,,
29652,WK040607,3580,,
29660,WK040608,6080,,
29672,WK040609,3100,,
29680,WK040610,2220,,
29692,WK040611,6590,,
29708,WK040612,2620,,
29724,WK041200,4180,,
29748,WK041201,3520,,
29776,WK041202,2450,,
29800,WK041203,1990,,
29828,WK041500,8850,,
29852,WK041501,1290,,
29868,WK041600,26890,,
29904,WK041700,11590,,
29944,WK042000,7980,,
29972,WK042001,5360,,
29992,WK042002,2380,,
30000,WK042003,600,,
30008,WK042004,3230,,
30020,WK042005,1640,,
30036,WK042006,640,,
30044,WK042007,1110,,
30052,WK042008,1850,,
30060,WK042009,2240,,
30124,WK042400,6560,,
30160,WK042500,17000,,
30228,WK043100,9200,,
30252,WK043200,6060,,
30280,WK043201,4360,,
30300,WK043202,870,,
30312,WK043700,13110,,
30348,WK043901,4130,,
30364,WK043902,13300,,
30388,WK043903,6880,,
30404,WK043904,9320,,
30416,WK043905,14880,,
30444,WK043906,13630,,
30460,WK043907,16730,,
30488,WK044100,18760,,
30536,WK044800,12180,,
30576,WK044801,1510,,
30600,WK045000,12430,,
30640,WK045101,970,,
30648,WK045102,3180,,
30656,WK045103,7530,,
30672,WK045104,5610,,
30688,WK045106,6190,,
30700,WK045107,240,,
30708,WK045108,3940,,
30816,WK045300,4930,,
30844,WK045301,7910,,
30876,WK045302,7820,,
30908,WK045303,4920,,
30928,WK045304,10070,,
30960,WK045305,5070,,
31000,WK045306,6870,,
31036,WK045307,3210,,
31056,WK045308,16590,,
31100,WK045309,140,,
31116,WK045700,17580,,
31156,WK045800,410,,
31164,WK045801,1190,,
31180,WK045802,1280,,
31200,WK045803,2440,,
31232,WK045900,7490,,
31252,WK045901,1210,,
31264,WK046200,8670,,
31312,WK046300,12560,,
31356,WK047300,15220,,
31400,WK047301,1390,,
31416,WK047600,11570,,
31460,WK047800,540,,
31468,WK047801,3220,,
31480,WK047802,770,,
31488,WK047803,710,,
31496,WK047804,790,,
31504,WK047805,100,,
31512,WK047806,160,,
31524,WK047911,11890,,
31540,WK047912,8130,,
31548,WK047913,10210,,
31560,WK047914,7220,,
31568,WK047915,4820,,
31580,WK047916,6620,,
31592,WK047921,4400,,
31612,WK047922,7390,,
31628,WK047923,11920,,
31640,WK047931,4680,,
31648,WK047932,6770,,
